MPI_Init,MPI_Finalize,MPI_Comm_get_name,MPI_Initialized,MPI_Get_version,MPI_Comm_rank,MPI_Get_address,MPI_Wtime,MPI_Dims_create,MPI_Comm_set_errhandler,MPI_Type_free,MPI_Barrier,MPI_Attr_get,MPI_Comm_size,MPI_Type_commit,MPI_Allreduce,MPI_Group_rank,MPI_Scan,MPI_Bcast,MPI_Comm_spawn,MPI_Comm_split,MPI_SEC_Bcast,MPI_Abort,MPI_Reduce,MPI_Send,MPI_Recv,MPI_Cart_create,MPI_Alltoall,MPI_Comm_get_parent,MPI_Get_processor_name,MPI_Scatter,MPI_Comm_idup,MPI_Test,MPI_Allgather,MPI_File_open,MPI_File_write_at,MPI_File_close,MPI_File_c2f,MPI_Rsend,MPI_Type_vector,MPI_Issend,MPI_Irecv,MPI_Waitall,MPI_Isend,MPI_Comm_connect,MPI_Type_get_extent,MPI_Gather,MPI_Wait,MPI_Type_get_extent_x,MPI_SEC_Allgather,MPI_Ibarrier,MPI_Win_free,MPI_Sendrecv,MPI_Info_free,MPI_Win_create,MPI_SEC_Alltoall,MPI_Sendrecv_replace,MPI_Info_create,MPI_Info_set,MPI_Info_get,MPI_Alltoallw,MPI_Type_indexed,MPI_Ssend,MPI_Graph_create,MPI_Graphdims_get,MPI_Direct_sort,MPI_Comm_spawn_multiple,MPI_Unpack,MPI_Cart_shift,MPI_File_write,MPI_Comm_free,MPI_Error_string,MPI_Op_free,MPI_Errhandler_set,MPI_Type_size,MPI_Type_ub,MPI_Alloc_mem,MPI_Free_mem,MPI_Waitany,MPI_Comm_get_attr,MPI_Intercomm_merge,MPI_Type_get_envelope,MPI_Type_get_contents,MPI_Comm_split_type,MPI_Testsome,MPI_Comm_disconnect,MPI_Probe,MPI_File_call_errhandler,MPI_File_set_errhandler,MPI_Type_create_struct,MPI_Type_contiguous,MPI_Get_count,MPI_Win_allocate,MPI_Win_unlock,MPI_Buffer_attach,MPI_Bsend,MPI_Iprobe,MPI_Win_fence,MPI_Reduce_scatter_block,MPI_Type_create_f90_real,MPI_Type_create_f90_complex,MPI_Win_unlock_all,MPI_Comm_create_keyval,MPI_Comm_set_attr,MPI_Comm_free_keyval,MPI_Errhandler_free,MPI_Comm_group,MPI_Put,MPI_Scatterv,MPI_Group_excl,MPI_Group_free,MPI_Intercomm_create,MPI_Get,MPI_Group_incl,MPI_Comm_create,MPI_Win_lock_all,MPI_Comm_create_group,MPI_Pack,MPI_Win_shared_query,MPI_Rsend_init,MPI_Allgatherv,MPI_Mprobe,MPI_Ibsend,MPI_Buffer_detach,MPI_Comm_dup,MPI_Error_class,MPI_Win_lock,MPI_Cart_coords,MPI_Cart_sub,MPI_Gatherv,MPI_Accumulate,MPI_Win_flush_local,MPI_File_sync,MPI_Win_create_dynamic,MPI_Win_attach,MPI_T_init_thread,MPI_Win_allocate_shared,MPI_Rget,MPI_Win_set_info,MPI_Win_get_info,MPI_Waitsome,MPI_Request_free,MPI_Win_sync,MPI_Win_flush
484.0,510.0,1.0,1.0,1.0,483.0,5.0,131.0,2.0,5.0,22.0,106.0,1.0,422.0,25.0,4.0,2.0,3.0,34.0,4.0,7.0,1.0,56.0,26.0,184.0,210.0,4.0,1.0,5.0,29.0,21.0,4.0,2.0,2.0,5.0,1.0,6.0,1.0,2.0,3.0,3.0,31.0,9.0,33.0,2.0,2.0,17.0,18.0,1.0,3.0,1.0,36.0,3.0,12.0,16.0,2.0,2.0,12.0,12.0,6.0,1.0,2.0,15.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,35.0,5.0,3.0,1.0,1.0,1.0,4.0,1.0,4.0,4.0,20.0,1.0,1.0,6.0,1.0,21.0,3.0,1.0,1.0,9.0,6.0,4.0,12.0,2.0,3.0,1.0,1.0,38.0,1.0,2.0,1.0,6.0,1.0,5.0,1.0,1.0,6.0,11.0,3.0,2.0,6.0,8.0,8.0,3.0,1.0,4.0,5.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,
485.0,510.0,1.0,1.0,1.0,484.0,5.0,131.0,2.0,5.0,22.0,106.0,1.0,423.0,25.0,4.0,2.0,3.0,34.0,4.0,7.0,1.0,57.0,26.0,184.0,210.0,4.0,1.0,5.0,29.0,21.0,4.0,2.0,2.0,5.0,1.0,6.0,1.0,2.0,3.0,3.0,31.0,9.0,33.0,2.0,2.0,17.0,18.0,1.0,3.0,1.0,36.0,3.0,12.0,16.0,2.0,2.0,12.0,12.0,6.0,1.0,2.0,15.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,35.0,5.0,3.0,1.0,1.0,1.0,4.0,1.0,4.0,4.0,20.0,1.0,1.0,6.0,1.0,21.0,3.0,1.0,1.0,9.0,6.0,4.0,12.0,2.0,3.0,1.0,1.0,38.0,1.0,2.0,1.0,6.0,1.0,5.0,1.0,1.0,6.0,11.0,3.0,2.0,6.0,8.0,8.0,3.0,1.0,4.0,5.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,
486.0,511.0,1.0,1.0,1.0,485.0,5.0,131.0,2.0,5.0,22.0,106.0,1.0,424.0,25.0,4.0,2.0,3.0,34.0,4.0,7.0,1.0,57.0,26.0,184.0,210.0,4.0,1.0,5.0,29.0,21.0,4.0,2.0,2.0,5.0,1.0,6.0,1.0,2.0,3.0,3.0,31.0,9.0,33.0,2.0,2.0,17.0,18.0,1.0,3.0,1.0,36.0,3.0,12.0,16.0,2.0,2.0,12.0,12.0,6.0,1.0,2.0,15.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,35.0,6.0,3.0,1.0,1.0,1.0,4.0,1.0,4.0,4.0,20.0,1.0,1.0,6.0,1.0,21.0,3.0,1.0,1.0,9.0,6.0,4.0,12.0,2.0,3.0,1.0,1.0,38.0,1.0,2.0,1.0,6.0,1.0,5.0,1.0,1.0,6.0,11.0,3.0,2.0,6.0,8.0,8.0,3.0,1.0,4.0,5.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,
489.0,511.0,1.0,1.0,1.0,488.0,5.0,131.0,2.0,5.0,22.0,106.0,1.0,426.0,25.0,4.0,2.0,3.0,34.0,4.0,7.0,1.0,60.0,26.0,184.0,210.0,4.0,1.0,5.0,29.0,21.0,4.0,2.0,2.0,5.0,1.0,6.0,1.0,2.0,3.0,3.0,32.0,9.0,33.0,2.0,2.0,17.0,18.0,1.0,3.0,1.0,36.0,3.0,12.0,17.0,2.0,2.0,12.0,12.0,6.0,1.0,2.0,15.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,35.0,6.0,3.0,1.0,1.0,1.0,6.0,1.0,4.0,4.0,20.0,1.0,1.0,6.0,1.0,21.0,3.0,1.0,1.0,9.0,6.0,4.0,12.0,2.0,3.0,1.0,1.0,38.0,1.0,2.0,1.0,6.0,1.0,5.0,1.0,1.0,6.0,11.0,3.0,2.0,6.0,8.0,8.0,3.0,1.0,5.0,5.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
489.0,511.0,1.0,1.0,1.0,488.0,5.0,131.0,2.0,5.0,22.0,106.0,1.0,426.0,25.0,4.0,2.0,3.0,34.0,4.0,7.0,1.0,60.0,26.0,184.0,210.0,4.0,1.0,5.0,29.0,21.0,4.0,2.0,2.0,5.0,1.0,6.0,1.0,2.0,3.0,3.0,32.0,9.0,33.0,2.0,2.0,17.0,18.0,1.0,3.0,1.0,36.0,3.0,12.0,17.0,2.0,2.0,12.0,12.0,6.0,1.0,2.0,15.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,35.0,6.0,3.0,1.0,1.0,1.0,6.0,1.0,4.0,4.0,20.0,1.0,1.0,6.0,1.0,21.0,3.0,1.0,1.0,9.0,6.0,4.0,12.0,2.0,3.0,1.0,1.0,38.0,1.0,2.0,1.0,6.0,1.0,5.0,1.0,1.0,6.0,11.0,3.0,2.0,6.0,8.0,8.0,3.0,1.0,5.0,5.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
489.0,511.0,1.0,1.0,1.0,488.0,5.0,131.0,2.0,5.0,22.0,106.0,1.0,426.0,25.0,4.0,2.0,3.0,34.0,4.0,7.0,1.0,60.0,26.0,184.0,210.0,4.0,1.0,5.0,29.0,21.0,4.0,2.0,2.0,5.0,1.0,6.0,1.0,2.0,3.0,3.0,32.0,9.0,33.0,2.0,2.0,17.0,18.0,1.0,3.0,1.0,36.0,3.0,12.0,18.0,2.0,2.0,12.0,12.0,6.0,1.0,2.0,15.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,35.0,6.0,3.0,1.0,1.0,1.0,6.0,1.0,4.0,4.0,20.0,1.0,1.0,6.0,1.0,21.0,3.0,1.0,1.0,9.0,6.0,4.0,12.0,2.0,3.0,1.0,1.0,38.0,1.0,2.0,1.0,7.0,1.0,5.0,1.0,1.0,6.0,11.0,3.0,2.0,6.0,8.0,8.0,3.0,1.0,5.0,5.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
490.0,511.0,1.0,1.0,1.0,488.0,5.0,131.0,2.0,5.0,22.0,106.0,1.0,426.0,25.0,4.0,2.0,3.0,34.0,4.0,7.0,1.0,61.0,26.0,184.0,210.0,4.0,1.0,5.0,29.0,21.0,4.0,2.0,2.0,5.0,1.0,6.0,1.0,2.0,3.0,3.0,32.0,9.0,33.0,2.0,2.0,17.0,18.0,1.0,3.0,1.0,36.0,3.0,12.0,18.0,2.0,2.0,12.0,12.0,6.0,1.0,2.0,15.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,35.0,6.0,3.0,1.0,1.0,1.0,6.0,1.0,4.0,4.0,20.0,1.0,1.0,6.0,1.0,21.0,3.0,1.0,1.0,9.0,6.0,4.0,12.0,2.0,3.0,1.0,1.0,38.0,1.0,2.0,1.0,7.0,1.0,5.0,1.0,1.0,6.0,11.0,3.0,2.0,6.0,8.0,8.0,3.0,1.0,5.0,5.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
490.0,511.0,1.0,1.0,1.0,488.0,5.0,131.0,2.0,5.0,22.0,106.0,1.0,426.0,25.0,4.0,2.0,3.0,34.0,4.0,7.0,1.0,61.0,26.0,184.0,210.0,4.0,1.0,5.0,29.0,21.0,4.0,2.0,2.0,5.0,1.0,6.0,1.0,2.0,3.0,3.0,32.0,9.0,33.0,2.0,2.0,17.0,18.0,1.0,3.0,1.0,36.0,3.0,12.0,18.0,2.0,2.0,12.0,12.0,6.0,1.0,2.0,15.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,35.0,6.0,3.0,1.0,1.0,1.0,6.0,1.0,4.0,4.0,20.0,1.0,1.0,6.0,1.0,21.0,3.0,1.0,1.0,9.0,6.0,4.0,12.0,2.0,3.0,1.0,1.0,38.0,1.0,2.0,1.0,7.0,1.0,5.0,1.0,1.0,6.0,11.0,3.0,2.0,6.0,8.0,8.0,3.0,1.0,5.0,5.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
490.0,511.0,1.0,1.0,1.0,488.0,5.0,131.0,2.0,5.0,22.0,106.0,1.0,426.0,25.0,4.0,2.0,3.0,34.0,4.0,7.0,1.0,61.0,26.0,184.0,210.0,4.0,1.0,5.0,29.0,21.0,4.0,2.0,2.0,5.0,1.0,6.0,1.0,2.0,3.0,3.0,32.0,9.0,33.0,2.0,2.0,17.0,18.0,1.0,3.0,1.0,36.0,3.0,12.0,18.0,2.0,2.0,12.0,12.0,6.0,1.0,2.0,15.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,35.0,6.0,3.0,1.0,1.0,1.0,6.0,1.0,4.0,4.0,20.0,1.0,1.0,6.0,1.0,21.0,3.0,1.0,1.0,9.0,6.0,4.0,12.0,2.0,3.0,1.0,1.0,38.0,1.0,2.0,1.0,7.0,1.0,5.0,1.0,1.0,6.0,11.0,3.0,2.0,6.0,8.0,8.0,3.0,1.0,5.0,5.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
491.0,511.0,1.0,1.0,1.0,489.0,5.0,131.0,2.0,5.0,22.0,106.0,1.0,427.0,25.0,4.0,2.0,3.0,34.0,4.0,7.0,1.0,61.0,26.0,184.0,210.0,4.0,1.0,5.0,29.0,21.0,4.0,2.0,2.0,5.0,1.0,6.0,1.0,2.0,3.0,3.0,32.0,9.0,33.0,2.0,2.0,17.0,18.0,1.0,3.0,1.0,36.0,3.0,15.0,18.0,2.0,2.0,13.0,13.0,8.0,1.0,2.0,15.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,35.0,6.0,3.0,1.0,1.0,1.0,6.0,1.0,4.0,4.0,20.0,1.0,1.0,6.0,1.0,21.0,3.0,1.0,1.0,9.0,6.0,4.0,13.0,2.0,3.0,1.0,1.0,38.0,1.0,2.0,1.0,7.0,1.0,5.0,1.0,1.0,6.0,11.0,3.0,2.0,6.0,8.0,8.0,3.0,1.0,5.0,5.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0
491.0,511.0,1.0,1.0,1.0,489.0,5.0,131.0,2.0,5.0,22.0,106.0,1.0,427.0,25.0,4.0,2.0,3.0,34.0,4.0,7.0,1.0,61.0,26.0,184.0,210.0,4.0,1.0,5.0,29.0,21.0,4.0,2.0,2.0,5.0,1.0,6.0,1.0,2.0,3.0,3.0,32.0,9.0,33.0,2.0,2.0,17.0,18.0,1.0,3.0,1.0,36.0,3.0,15.0,18.0,2.0,2.0,13.0,13.0,8.0,1.0,2.0,15.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,35.0,6.0,3.0,1.0,1.0,1.0,6.0,1.0,4.0,4.0,20.0,1.0,1.0,6.0,1.0,21.0,3.0,1.0,1.0,9.0,6.0,4.0,13.0,2.0,3.0,1.0,1.0,38.0,1.0,2.0,1.0,7.0,1.0,5.0,1.0,1.0,6.0,11.0,3.0,2.0,6.0,8.0,8.0,3.0,1.0,5.0,5.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0
491.0,511.0,1.0,1.0,1.0,489.0,5.0,131.0,2.0,5.0,22.0,106.0,1.0,427.0,25.0,4.0,2.0,3.0,34.0,4.0,7.0,1.0,61.0,26.0,184.0,210.0,4.0,1.0,5.0,29.0,21.0,4.0,2.0,2.0,5.0,1.0,6.0,1.0,2.0,3.0,3.0,32.0,9.0,33.0,2.0,2.0,17.0,18.0,1.0,3.0,1.0,36.0,3.0,15.0,18.0,2.0,2.0,13.0,13.0,8.0,1.0,2.0,15.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,35.0,6.0,3.0,1.0,1.0,1.0,6.0,1.0,4.0,4.0,20.0,1.0,1.0,6.0,1.0,21.0,3.0,1.0,1.0,9.0,6.0,4.0,13.0,2.0,3.0,1.0,1.0,38.0,1.0,2.0,1.0,7.0,1.0,5.0,1.0,1.0,6.0,11.0,3.0,2.0,6.0,8.0,8.0,3.0,1.0,5.0,5.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0
491.0,511.0,1.0,1.0,1.0,489.0,5.0,131.0,2.0,5.0,22.0,106.0,1.0,427.0,25.0,4.0,2.0,3.0,34.0,4.0,7.0,1.0,61.0,26.0,184.0,210.0,4.0,1.0,5.0,29.0,21.0,4.0,2.0,2.0,5.0,1.0,6.0,1.0,2.0,3.0,3.0,32.0,9.0,33.0,2.0,2.0,17.0,18.0,1.0,3.0,1.0,36.0,3.0,15.0,18.0,2.0,2.0,13.0,13.0,8.0,1.0,2.0,15.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,35.0,6.0,3.0,1.0,1.0,1.0,6.0,1.0,4.0,4.0,20.0,1.0,1.0,6.0,1.0,21.0,3.0,1.0,1.0,9.0,6.0,4.0,13.0,2.0,3.0,1.0,1.0,38.0,1.0,2.0,1.0,7.0,1.0,5.0,1.0,1.0,6.0,11.0,3.0,2.0,6.0,8.0,8.0,3.0,1.0,5.0,5.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0
491.0,511.0,1.0,1.0,1.0,489.0,5.0,131.0,2.0,5.0,22.0,106.0,1.0,427.0,25.0,4.0,2.0,3.0,34.0,4.0,7.0,1.0,61.0,26.0,184.0,210.0,4.0,1.0,5.0,29.0,21.0,4.0,2.0,2.0,5.0,1.0,6.0,1.0,2.0,3.0,3.0,32.0,9.0,33.0,2.0,2.0,17.0,18.0,1.0,3.0,1.0,36.0,3.0,15.0,18.0,2.0,2.0,13.0,13.0,8.0,1.0,2.0,15.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,35.0,6.0,3.0,1.0,1.0,1.0,6.0,1.0,4.0,4.0,20.0,1.0,1.0,6.0,1.0,21.0,3.0,1.0,1.0,9.0,6.0,4.0,13.0,2.0,3.0,1.0,1.0,38.0,1.0,2.0,1.0,7.0,1.0,5.0,1.0,1.0,6.0,11.0,3.0,2.0,6.0,8.0,8.0,3.0,1.0,5.0,5.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0
491.0,511.0,1.0,1.0,1.0,489.0,5.0,131.0,2.0,5.0,22.0,106.0,1.0,427.0,25.0,4.0,2.0,3.0,34.0,4.0,7.0,1.0,61.0,26.0,184.0,210.0,4.0,1.0,5.0,29.0,21.0,4.0,2.0,2.0,5.0,1.0,6.0,1.0,2.0,3.0,3.0,32.0,9.0,33.0,2.0,2.0,17.0,18.0,1.0,3.0,1.0,36.0,3.0,15.0,18.0,2.0,2.0,13.0,13.0,8.0,1.0,2.0,15.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,35.0,6.0,3.0,1.0,1.0,1.0,6.0,1.0,4.0,4.0,20.0,1.0,1.0,6.0,1.0,21.0,3.0,1.0,1.0,9.0,6.0,4.0,13.0,2.0,3.0,1.0,1.0,38.0,1.0,2.0,1.0,7.0,1.0,5.0,1.0,1.0,6.0,11.0,3.0,2.0,6.0,8.0,8.0,3.0,1.0,5.0,5.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0
491.0,511.0,1.0,1.0,1.0,489.0,5.0,131.0,2.0,5.0,22.0,106.0,1.0,427.0,25.0,4.0,2.0,3.0,34.0,4.0,7.0,1.0,61.0,26.0,184.0,210.0,4.0,1.0,5.0,29.0,21.0,4.0,2.0,2.0,5.0,1.0,6.0,1.0,2.0,3.0,3.0,32.0,9.0,33.0,2.0,2.0,17.0,18.0,1.0,3.0,1.0,36.0,3.0,15.0,18.0,2.0,2.0,13.0,13.0,8.0,1.0,2.0,15.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,35.0,6.0,3.0,1.0,1.0,1.0,6.0,1.0,4.0,4.0,20.0,1.0,1.0,6.0,1.0,21.0,3.0,1.0,1.0,9.0,6.0,4.0,13.0,2.0,3.0,1.0,1.0,38.0,1.0,2.0,1.0,7.0,1.0,5.0,1.0,1.0,6.0,11.0,3.0,2.0,6.0,8.0,8.0,3.0,1.0,5.0,5.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0
491.0,511.0,1.0,1.0,1.0,489.0,5.0,131.0,2.0,5.0,22.0,106.0,1.0,427.0,25.0,4.0,2.0,3.0,34.0,4.0,7.0,1.0,61.0,26.0,184.0,210.0,4.0,1.0,5.0,29.0,21.0,4.0,2.0,2.0,5.0,1.0,6.0,1.0,2.0,3.0,3.0,32.0,9.0,33.0,2.0,2.0,17.0,18.0,1.0,3.0,1.0,36.0,3.0,15.0,18.0,2.0,2.0,13.0,13.0,8.0,1.0,2.0,15.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,35.0,6.0,3.0,1.0,1.0,1.0,6.0,1.0,4.0,4.0,20.0,1.0,1.0,6.0,1.0,21.0,3.0,1.0,1.0,9.0,6.0,4.0,13.0,2.0,3.0,1.0,1.0,38.0,1.0,2.0,1.0,7.0,1.0,5.0,1.0,1.0,6.0,11.0,3.0,2.0,6.0,8.0,8.0,3.0,1.0,5.0,5.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0
492.0,511.0,1.0,1.0,1.0,490.0,5.0,131.0,2.0,5.0,22.0,106.0,1.0,428.0,25.0,4.0,2.0,3.0,34.0,4.0,7.0,1.0,61.0,26.0,184.0,210.0,4.0,1.0,5.0,29.0,21.0,4.0,2.0,2.0,5.0,1.0,6.0,1.0,2.0,3.0,3.0,32.0,9.0,33.0,2.0,2.0,17.0,18.0,1.0,3.0,1.0,36.0,3.0,15.0,18.0,2.0,2.0,14.0,14.0,9.0,1.0,2.0,15.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,35.0,6.0,3.0,1.0,1.0,1.0,6.0,1.0,4.0,4.0,20.0,1.0,1.0,6.0,1.0,21.0,3.0,1.0,1.0,9.0,6.0,4.0,14.0,2.0,3.0,1.0,1.0,38.0,1.0,2.0,1.0,7.0,1.0,5.0,1.0,1.0,6.0,11.0,3.0,2.0,6.0,8.0,8.0,3.0,1.0,5.0,5.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0
